"Label (Grouping)","Total population 25 years and over with a Bachelor's degree or higher","Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!Business","Total population 25 years and over with a Bachelor's degree or higher!!Education","Total population 25 years and over with a Bachelor's degree or higher!!Arts, Humanities and Others","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Business","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Education","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Arts, Humanities and Others","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Business","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Education","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Arts, Humanities and Others","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Business","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Education","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Arts, Humanities and Others"
"        Margin of Error","(X)","±0.9","±0.7","±0.9","±0.7","±0.9","","(X)","±1.8","±1.2","±1.5","±1.1","±1.6","(X)","±1.6","±0.9","±1.4","±1.0","±1.5","(X)","±1.9","±1.5","±1.0","±2.1","±1.9"
"Delaware","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","253,292","91,390","23,925","53,086","29,078","55,813","","69,305","28,608","7,647","12,173","5,362","15,515","115,815","38,811","10,243","28,706","10,147","27,908","68,172","23,971","6,035","12,207","13,569","12,390"
"        Margin of Error","±7,508","±4,367","±2,575","±3,893","±2,699","±3,574","","±3,929","±2,523","±1,793","±2,143","±1,501","±1,799","±5,416","±3,328","±1,837","±3,175","±1,562","±2,838","±3,778","±2,024","±1,232","±1,553","±1,563","±1,414"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","36.1%","9.4%","21.0%","11.5%","22.0%","","(X)","41.3%","11.0%","17.6%","7.7%","22.4%","(X)","33.5%","8.8%","24.8%","8.8%","24.1%","(X)","35.2%","8.9%","17.9%","19.9%","18.2%"
"        Margin of Error","(X)","±1.5","±1.0","±1.4","±0.9","±1.3","","(X)","±3.0","±2.5","±2.9","±2.1","±2.4","(X)","±2.6","±1.5","±2.3","±1.2","±2.4","(X)","±2.5","±1.7","±2.0","±1.9","±1.9"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","116,798","51,295","5,294","28,787","7,009","24,413","","31,798","15,164","1,739","6,729","1,525","6,641","49,815","20,569","1,947","13,337","2,259","11,703","35,185","15,562","1,608","8,721","3,225","6,069"
"        Margin of Error","±4,218","±3,192","±1,230","±2,852","±1,253","±2,366","","±2,704","±1,891","±761","±1,431","±764","±1,336","±3,061","±2,188","±712","±2,467","±744","±1,773","±2,526","±1,550","±703","±1,392","±736","±1,133"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","43.9%","4.5%","24.6%","6.0%","20.9%","","(X)","47.7%","5.5%","21.2%","4.8%","20.9%","(X)","41.3%","3.9%","26.8%","4.5%","23.5%","(X)","44.2%","4.6%","24.8%","9.2%","17.2%"
"        Margin of Error","(X)","±2.2","±1.1","±2.3","±1.0","±1.9","","(X)","±4.5","±2.4","±4.0","±2.3","±3.7","(X)","±4.1","±1.4","±4.2","±1.5","±3.5","(X)","±3.9","±1.9","±3.4","±1.9","±2.8"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","136,494","40,095","18,631","24,299","22,069","31,400","","37,507","13,444","5,908","5,444","3,837","8,874","66,000","18,242","8,296","15,369","7,888","16,205","32,987","8,409","4,427","3,486","10,344","6,321"
"        Margin of Error","±4,763","±3,112","±2,402","±3,134","±2,203","±2,667","","±2,867","±1,799","±1,645","±1,548","±1,130","±1,354","±3,888","±2,318","±1,612","±2,507","±1,303","±2,062","±2,081","±1,257","±962","±761","±1,295","±996"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","29.4%","13.6%","17.8%","16.2%","23.0%","","(X)","35.8%","15.8%","14.5%","10.2%","23.7%","(X)","27.6%","12.6%","23.3%","12.0%","24.6%","(X)","25.5%","13.4%","10.6%","31.4%","19.2%"
"        Margin of Error","(X)","±2.2","±1.7","±2.1","±1.4","±2.0","","(X)","±4.3","±3.9","±3.9","±3.0","±3.4","(X)","±3.2","±2.3","±3.3","±1.8","±3.0","(X)","±3.4","±2.6","±2.4","±3.3","±2.9"
"District of Columbia","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","301,852","149,886","15,213","37,511","9,479","89,763","","157,167","83,323","9,011","19,139","2,930","42,764","101,801","48,748","4,511","13,982","3,436","31,124","42,884","17,815","1,691","4,390","3,113","15,875"
"        Margin of Error","±6,754","±5,557","±2,485","±3,408","±1,560","±5,410","","±4,201","±3,921","±2,122","±2,571","±911","±3,706","±3,728","±3,479","±937","±1,740","±928","±2,546","±2,439","±2,168","±584","±1,207","±932","±2,141"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","49.7%","5.0%","12.4%","3.1%","29.7%","","(X)","53.0%","5.7%","12.2%","1.9%","27.2%","(X)","47.9%","4.4%","13.7%","3.4%","30.6%","(X)","41.5%","3.9%","10.2%","7.3%","37.0%"
"        Margin of Error","(X)","±1.6","±0.8","±1.1","±0.5","±1.7","","(X)","±2.3","±1.3","±1.6","±0.6","±2.2","(X)","±2.6","±0.9","±1.7","±0.9","±2.4","(X)","±4.5","±1.3","±2.8","±2.1","±4.5"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","144,606","75,606","4,399","20,426","2,311","41,864","","72,080","38,648","2,318","10,628","840","19,646","52,318","27,076","1,814","6,914","1,120","15,394","20,208","9,882","267","2,884","351","6,824"
"        Margin of Error","±4,220","±3,799","±1,116","±2,277","±794","±4,148","","±2,980","±2,877","±823","±1,649","±496","±2,939","±2,598","±2,427","±650","±1,438","±500","±2,014","±1,359","±1,437","±212","±845","±216","±1,258"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","52.3%","3.0%","14.1%","1.6%","29.0%","","(X)","53.6%","3.2%","14.7%","1.2%","27.3%","(X)","51.8%","3.5%","13.2%","2.1%","29.4%","(X)","48.9%","1.3%","14.3%","1.7%","33.8%"
"        Margin of Error","(X)","±2.4","±0.8","±1.6","±0.5","±2.6","","(X)","±3.7","±1.1","±2.3","±0.7","±3.7","(X)","±3.6","±1.2","±2.8","±1.0","±3.4","(X)","±6.2","±1.0","±4.2","±1.1","±5.7"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","157,246","74,280","10,814","17,085","7,168","47,899","","85,087","44,675","6,693","8,511","2,090","23,118","49,483","21,672","2,697","7,068","2,316","15,730","22,676","7,933","1,424","1,506","2,762","9,051"
"        Margin of Error","±4,390","±3,823","±2,051","±2,220","±1,392","±3,064","","±2,809","±3,389","±1,788","±1,631","±745","±2,630","±2,689","±2,468","±746","±1,343","±736","±1,723","±1,929","±1,483","±589","±706","±909","±1,524"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","47.2%","6.9%","10.9%","4.6%","30.5%","","(X)","52.5%","7.9%","10.0%","2.5%","27.2%","(X)","43.8%","5.5%","14.3%","4.7%","31.8%","(X)","35.0%","6.3%","6.6%","12.2%","39.9%"
"        Margin of Error","(X)","±2.2","±1.3","±1.3","±0.8","±2.0","","(X)","±3.6","±2.0","±1.9","±0.9","±3.0","(X)","±3.8","±1.5","±2.8","±1.4","±3.2","(X)","±5.7","±2.5","±3.1","±3.8","±6.0"
"Florida","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,226,846","1,725,798","546,678","1,283,986","637,979","1,032,405","","1,429,062","516,356","150,115","345,599","100,792","316,200","2,347,171","764,738","251,608","644,261","230,332","456,232","1,450,613","444,704","144,955","294,126","306,855","259,973"
"        Margin of Error","±44,933","±25,461","±14,421","±21,177","±14,689","±19,658","","±23,465","±13,850","±8,963","±13,934","±7,111","±10,768","±31,618","±16,833","±10,127","±14,595","±9,917","±12,498","±18,421","±11,305","±6,931","±9,259","±9,488","±8,613"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","33.0%","10.5%","24.6%","12.2%","19.8%","","(X)","36.1%","10.5%","24.2%","7.1%","22.1%","(X)","32.6%","10.7%","27.4%","9.8%","19.4%","(X)","30.7%","10.0%","20.3%","21.2%","17.9%"
"        Margin of Error","(X)","±0.4","±0.3","±0.3","±0.3","±0.4","","(X)","±0.8","±0.6","±0.8","±0.5","±0.7","(X)","±0.5","±0.4","±0.5","±0.4","±0.5","(X)","±0.7","±0.5","±0.5","±0.6","±0.6"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,487,902","1,040,458","153,591","697,089","139,709","457,055","","625,089","271,365","35,243","163,914","17,751","136,816","1,092,694","446,246","72,863","323,510","47,112","202,963","770,119","322,847","45,485","209,665","74,846","117,276"
"        Margin of Error","±27,522","±18,190","±7,381","±15,121","±6,824","±12,030","","±15,427","±9,514","±3,720","±9,392","±3,175","±6,928","±18,948","±11,404","±5,661","±10,497","±4,134","±8,355","±12,422","±8,901","±3,549","±7,332","±4,714","±5,598"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","41.8%","6.2%","28.0%","5.6%","18.4%","","(X)","43.4%","5.6%","26.2%","2.8%","21.9%","(X)","40.8%","6.7%","29.6%","4.3%","18.6%","(X)","41.9%","5.9%","27.2%","9.7%","15.2%"
"        Margin of Error","(X)","±0.6","±0.3","±0.5","±0.3","±0.5","","(X)","±1.2","±0.6","±1.2","±0.5","±1.0","(X)","±0.9","±0.5","±0.8","±0.4","±0.7","(X)","±0.9","±0.5","±0.8","±0.6","±0.7"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,738,944","685,340","393,087","586,897","498,270","575,350","","803,973","244,991","114,872","181,685","83,041","179,384","1,254,477","318,492","178,745","320,751","183,220","253,269","680,494","121,857","99,470","84,461","232,009","142,697"
"        Margin of Error","±26,483","±15,528","±11,457","±14,373","±12,426","±13,082","","±15,676","±8,402","±7,928","±8,610","±5,904","±7,618","±19,877","±11,183","±8,147","±9,283","±8,132","±9,308","±11,063","±6,349","±4,973","±4,897","±7,929","±5,630"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","25.0%","14.4%","21.4%","18.2%","21.0%","","(X)","30.5%","14.3%","22.6%","10.3%","22.3%","(X)","25.4%","14.2%","25.6%","14.6%","20.2%","(X)","17.9%","14.6%","12.4%","34.1%","21.0%"
"        Margin of Error","(X)","±0.5","±0.4","±0.5","±0.4","±0.5","","(X)","±1.0","±0.9","±1.0","±0.7","±0.9","(X)","±0.7","±0.6","±0.7","±0.6","±0.7","(X)","±0.9","±0.7","±0.7","±1.0","±0.8"
"Georgia","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,505,076","826,355","228,136","597,618","297,497","555,470","","819,691","289,639","71,401","188,774","60,800","209,077","1,210,203","393,494","110,938","316,743","135,520","253,508","475,182","143,222","45,797","92,101","101,177","92,885"
"        Margin of Error","±32,179","±17,787","±9,856","±18,341","±10,484","±15,024","","±19,712","±11,590","±6,228","±10,514","±5,231","±9,862","±19,444","±12,689","±6,878","±12,615","±7,326","±9,528","±10,514","±5,897","±3,753","±5,464","±5,329","±5,304"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","33.0%","9.1%","23.9%","11.9%","22.2%","","(X)","35.3%","8.7%","23.0%","7.4%","25.5%","(X)","32.5%","9.2%","26.2%","11.2%","20.9%","(X)","30.1%","9.6%","19.4%","21.3%","19.5%"
"        Margin of Error","(X)","±0.6","±0.3","±0.6","±0.4","±0.6","","(X)","±1.3","±0.7","±1.1","±0.6","±1.1","(X)","±0.9","±0.5","±1.0","±0.6","±0.7","(X)","±1.1","±0.7","±1.1","±1.0","±1.0"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,141,015","468,270","60,490","316,172","54,422","241,661","","354,089","144,919","15,905","93,570","13,404","86,291","549,692","225,405","29,501","160,079","23,799","110,908","237,234","97,946","15,084","62,523","17,219","44,462"
"        Margin of Error","±19,612","±11,408","±5,211","±12,662","±4,686","±10,269","","±11,227","±6,752","±2,990","±7,900","±2,323","±5,926","±12,446","±9,346","±4,051","±7,579","±3,373","±7,080","±6,737","±4,439","±2,281","±4,276","±2,142","±3,557"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","41.0%","5.3%","27.7%","4.8%","21.2%","","(X)","40.9%","4.5%","26.4%","3.8%","24.4%","(X)","41.0%","5.4%","29.1%","4.3%","20.2%","(X)","41.3%","6.4%","26.4%","7.3%","18.7%"
"        Margin of Error","(X)","±0.9","±0.4","±0.9","±0.4","±0.8","","(X)","±1.8","±0.8","±1.9","±0.6","±1.6","(X)","±1.4","±0.7","±1.3","±0.6","±1.2","(X)","±1.7","±0.9","±1.7","±0.9","±1.4"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,364,061","358,085","167,646","281,446","243,075","313,809","","465,602","144,720","55,496","95,204","47,396","122,786","660,511","168,089","81,437","156,664","111,721","142,600","237,948","45,276","30,713","29,578","83,958","48,423"
"        Margin of Error","±19,095","±11,613","±8,068","±9,996","±9,478","±10,353","","±13,491","±7,927","±4,970","±6,846","±4,673","±8,008","±12,399","±8,592","±5,584","±7,729","±6,603","±6,243","±7,260","±4,240","±3,315","±3,263","±4,940","±3,767"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","26.3%","12.3%","20.6%","17.8%","23.0%","","(X)","31.1%","11.9%","20.4%","10.2%","26.4%","(X)","25.4%","12.3%","23.7%","16.9%","21.6%","(X)","19.0%","12.9%","12.4%","35.3%","20.4%"
"        Margin of Error","(X)","±0.8","±0.5","±0.7","±0.6","±0.7","","(X)","±1.6","±1.0","±1.4","±1.0","±1.4","(X)","±1.1","±0.8","±1.1","±0.9","±0.9","(X)","±1.6","±1.4","±1.3","±1.8","±1.4"
"Hawaii","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","360,681","130,394","35,911","69,595","42,817","81,964","","109,513","40,282","12,409","20,938","8,480","27,404","157,198","56,867","14,271","34,075","16,278","35,707","93,970","33,245","9,231","14,582","18,059","18,853"
"        Margin of Error","±7,902","±4,488","±3,045","±4,375","±3,519","±5,003","","±4,442","±3,077","±1,916","±2,804","±2,016","±2,680","±6,513","±3,914","±1,743","±2,560","±2,057","±3,017","±3,541","±2,081","±1,410","±1,787","±1,802","±1,785"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","36.2%","10.0%","19.3%","11.9%","22.7%","","(X)","36.8%","11.3%","19.1%","7.7%","25.0%","(X)","36.2%","9.1%","21.7%","10.4%","22.7%","(X)","35.4%","9.8%","15.5%","19.2%","20.1%"
"        Margin of Error","(X)","±1.1","±0.8","±1.1","±1.0","±1.2","","(X)","±2.4","±1.7","±2.3","±1.8","±2.3","(X)","±2.0","±1.0","±1.5","±1.2","±1.6","(X)","±1.9","±1.5","±1.8","±1.7","±1.8"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","165,230","75,197","10,449","36,455","9,529","33,600","","46,027","18,962","3,920","11,302","1,656","10,187","73,285","33,169","4,470","15,473","4,057","16,116","45,918","23,066","2,059","9,680","3,816","7,297"
"        Margin of Error","±4,945","±3,038","±1,497","±2,490","±1,471","±3,389","","±2,844","±2,132","±1,065","±1,762","±736","±1,722","±3,982","±2,660","±968","±1,530","±1,098","±2,210","±2,486","±1,733","±614","±1,388","±797","±1,089"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","45.5%","6.3%","22.1%","5.8%","20.3%","","(X)","41.2%","8.5%","24.6%","3.6%","22.1%","(X)","45.3%","6.1%","21.1%","5.5%","22.0%","(X)","50.2%","4.5%","21.1%","8.3%","15.9%"
"        Margin of Error","(X)","±1.5","±0.9","±1.4","±0.9","±1.8","","(X)","±3.7","±2.3","±3.3","±1.6","±3.6","(X)","±2.9","±1.3","±1.9","±1.4","±2.6","(X)","±3.2","±1.3","±2.6","±1.6","±2.2"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","195,451","55,197","25,462","33,140","33,288","48,364","","63,486","21,320","8,489","9,636","6,824","17,217","83,913","23,698","9,801","18,602","12,221","19,591","48,052","10,179","7,172","4,902","14,243","11,556"
"        Margin of Error","±5,031","±2,934","±2,480","±3,020","±3,055","±3,430","","±3,178","±1,984","±1,549","±1,932","±1,692","±2,101","±4,076","±2,360","±1,411","±2,106","±1,692","±1,773","±2,403","±1,202","±1,319","±958","±1,673","±1,526"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
